#Results for query "config from cloud.resource where cloud.accountgroup = 'cloud_governance_team_qa' AND api.name = 'aws-lambda-list-functions' " executed for time range from: Sep 28, 2021 14.55 MDT America/Denver, to: Sep 29, 2021 14.55 MDT America/Denver and executed by michelle.griffith1@maxar.com
Resource Name,Service,Account,Region,Last Modified
AWSATLoggingCrudFunction-dev,AWS Lambda,governance-qa-inventory,AWS Virginia,"Sep 07, 2021 11.39 MDT America/Denver"
mxr-governance-aws-config-aggregator-provisioner,AWS Lambda,Governance-QA-ServiceCatalog,AWS Virginia,"Aug 31, 2021 12.31 MDT America/Denver"
SC-384124098735-pp-4zb4z4-CureInventoryExportFunct-FA9T1HFhu8mD,AWS Lambda,governance-qa-inventory,AWS Virginia,"Aug 24, 2021 14.08 MDT America/Denver"
AWSATPostbuildTweaks-qa,AWS Lambda,governance-qa-inventory,AWS Virginia,"Aug 24, 2021 12.34 MDT America/Denver"
AWSATAuthorizerLambda-qa,AWS Lambda,governance-qa-inventory,AWS Virginia,"Aug 24, 2021 10.09 MDT America/Denver"
SC-384124098735-pp-r5eac76bxpvbm-InventoryInserter-DQZES2AQCQY8,AWS Lambda,governance-qa-inventory,AWS Virginia,"Aug 24, 2021 05.05 MDT America/Denver"
SC-384124098735-pp-5jngf5evg-InventoryToS3Function-D4EIHwXvWXRt,AWS Lambda,governance-qa-inventory,AWS Virginia,"Aug 23, 2021 15.10 MDT America/Denver"
aws_config_bucket_events,AWS Lambda,governance-qa-tools,AWS Virginia,"Aug 19, 2021 14.55 MDT America/Denver"
SC-357940840310-pp-zgrcssm76tghw-PrismaProvisioner-120DWVRCH5889,AWS Lambda,Governance-QA-ServiceCatalog,AWS Virginia,"Aug 12, 2021 16.16 MDT America/Denver"
SC-574485822635-pp-3wwsugsq-PrismaRotationFunction-4mwvhd0Y2Spn,AWS Lambda,mxr-governance-qa-sectools,AWS Virginia,"Aug 09, 2021 10.10 MDT America/Denver"
AggregatorProvisionerQA1-AggregatorProvisioner-ZMDSr5TQUdkC,AWS Lambda,governance-qa-sandbox,AWS Virginia,"Jul 27, 2021 11.47 MDT America/Denver"
rotation-test-farit,AWS Lambda,governance-qa-sandbox,AWS Virginia,"Jul 21, 2021 09.47 MDT America/Denver"
IamAccessAnalyzerPipeline-EventBusPolicyUpdater,AWS Lambda,governance-qa-tools,AWS California,"Jul 14, 2021 00.11 MDT America/Denver"
IamAccessAnalyzerPipeline-EventBusPolicyUpdater,AWS Lambda,governance-qa-tools,AWS Ohio,"Jul 14, 2021 00.11 MDT America/Denver"
IamAccessAnalyzerPipeline-EventBusPolicyUpdater,AWS Lambda,governance-qa-tools,AWS Paris,"Jul 14, 2021 00.08 MDT America/Denver"
IamAccessAnalyzerPipeline-EventBusPolicyUpdater,AWS Lambda,governance-qa-tools,AWS London,"Jul 14, 2021 00.08 MDT America/Denver"
IamAccessAnalyzerPipeline-EventBusPolicyUpdater,AWS Lambda,governance-qa-tools,AWS Ireland,"Jul 14, 2021 00.07 MDT America/Denver"
IamAccessAnalyzerPipeline-EventBusPolicyUpdater,AWS Lambda,governance-qa-tools,AWS Frankfurt,"Jul 14, 2021 00.06 MDT America/Denver"
IamAccessAnalyzerPipeline-EventBusPolicyUpdater,AWS Lambda,governance-qa-tools,AWS Canada,"Jul 14, 2021 00.05 MDT America/Denver"
IamAccessAnalyzerPipeline-EventBusPolicyUpdater,AWS Lambda,governance-qa-tools,AWS Sydney,"Jul 14, 2021 00.05 MDT America/Denver"
IamAccessAnalyzerPipeline-EventBusPolicyUpdater,AWS Lambda,governance-qa-tools,AWS Singapore,"Jul 14, 2021 00.04 MDT America/Denver"
IamAccessAnalyzerPipeline-EventBusPolicyUpdater,AWS Lambda,governance-qa-tools,AWS Mumbai,"Jul 14, 2021 00.03 MDT America/Denver"
IamAccessAnalyzerPipeline-EventBusPolicyUpdater,AWS Lambda,governance-qa-tools,AWS Seoul,"Jul 14, 2021 00.02 MDT America/Denver"
IamAccessAnalyzerPipeline-EventBusPolicyUpdater,AWS Lambda,governance-qa-tools,AWS Tokyo,"Jul 14, 2021 00.02 MDT America/Denver"
IamAccessAnalyzerPipeline-EventBusPolicyUpdater,AWS Lambda,governance-qa-tools,AWS Oregon,"Jul 13, 2021 23.50 MDT America/Denver"
DeleteDefaultNetworking,AWS Lambda,governance-qa-sandbox,AWS Virginia,"Jul 06, 2021 15.32 MDT America/Denver"
SC-357940840310-pp-n2iry7gyx-AccountCustomResource-1TJXIBMQ2KRBF,AWS Lambda,Governance-QA-ServiceCatalog,AWS Virginia,"Jul 06, 2021 13.46 MDT America/Denver"
account-details-to-aws-account-id,AWS Lambda,Governance-QA-ServiceCatalog,AWS Virginia,"Jul 06, 2021 13.46 MDT America/Denver"
SC-357940840310-pp-qhxfrk-BootstrapperProjectCusto-1UX8JKQKQ5EVB,AWS Lambda,Governance-QA-ServiceCatalog,AWS Virginia,"Jul 06, 2021 13.46 MDT America/Denver"
SC-357940840310-pp-5boely4g-MoveToOUCustomResource-1GXE2H8EPMGG,AWS Lambda,Governance-QA-ServiceCatalog,AWS Virginia,"Jun 25, 2021 16.31 MDT America/Denver"
SC-357940840310-pp-d7jo4x-AccountWaiterCustomResou-1UMYV7IBGMNEY,AWS Lambda,Governance-QA-ServiceCatalog,AWS Virginia,"Jun 25, 2021 16.31 MDT America/Denver"
SC-507315982361-pp-k6f5lv6j4glf-CFHHandlerFunction-THMPS0ZGYAFE,AWS Lambda,mxr-governance-qa-master,AWS Virginia,"Jun 25, 2021 16.15 MDT America/Denver"
mxr-governance-iam-provisioner,AWS Lambda,Governance-QA-ServiceCatalog,AWS Virginia,"Jun 25, 2021 16.11 MDT America/Denver"
mxr-governance-cloudtrail-provisioner,AWS Lambda,Governance-QA-ServiceCatalog,AWS Virginia,"Jun 25, 2021 16.11 MDT America/Denver"
avm-golden-goose-notifier,AWS Lambda,Governance-QA-ServiceCatalog,AWS Virginia,"Jun 25, 2021 16.11 MDT America/Denver"
account-type-to-organizational-unit-id,AWS Lambda,Governance-QA-ServiceCatalog,AWS Virginia,"Jun 25, 2021 16.11 MDT America/Denver"
avm-golden-goose-pipeline-role,AWS Lambda,Governance-QA-ServiceCatalog,AWS Virginia,"Jun 25, 2021 16.11 MDT America/Denver"
SC-357940840310-pp-erslufwrhxrwy-NewAccountInfo-1LP6RHQ2C17T3,AWS Lambda,Governance-QA-ServiceCatalog,AWS Virginia,"Jun 25, 2021 16.11 MDT America/Denver"
SC-357940840310-pp-zvrqd3l-PutMetricLambdaFunction-1LL2GQAOJA62V,AWS Lambda,Governance-QA-ServiceCatalog,AWS Virginia,"Jun 25, 2021 16.11 MDT America/Denver"
SC-384124098735-pp-kzbkvv-CureAccessManagementFunc-3FtSMVdEF4Co,AWS Lambda,governance-qa-inventory,AWS Virginia,"Jun 25, 2021 16.07 MDT America/Denver"
AWSATLoggingHandler-qa,AWS Lambda,governance-qa-inventory,AWS Virginia,"Jun 23, 2021 09.01 MDT America/Denver"
AWSATLoggingCrudFunction-qa,AWS Lambda,governance-qa-inventory,AWS Virginia,"Jun 23, 2021 09.01 MDT America/Denver"
SC-384124098735-pp-qpnijk5-SSORolesCreatorFunction-H2WH5P19AS0G,AWS Lambda,governance-qa-inventory,AWS Virginia,"Jun 23, 2021 09.01 MDT America/Denver"
send_decipher_file,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 17, 2021 16.27 MDT America/Denver"
populate_allocation_datastore,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 17, 2021 11.07 MDT America/Denver"
create_bu_report,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 17, 2021 11.07 MDT America/Denver"
custom_rule_executor,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 17, 2021 11.07 MDT America/Denver"
combine_allocation_processor,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 17, 2021 11.07 MDT America/Denver"
content_hub_allocation_processor,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 17, 2021 11.07 MDT America/Denver"
check_for_invoices,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 17, 2021 11.07 MDT America/Denver"
gbdx_allocation_processor,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 17, 2021 11.07 MDT America/Denver"
combine_custom_rules,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 17, 2021 11.07 MDT America/Denver"
finalize_default_allocations,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 17, 2021 11.07 MDT America/Denver"
process_default_allocations,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 17, 2021 11.07 MDT America/Denver"
prepare_allocation_run,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 17, 2021 11.07 MDT America/Denver"
get_custom_rules,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 17, 2021 11.07 MDT America/Denver"
process_edp_and_support,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 17, 2021 11.07 MDT America/Denver"
rule_verifier,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 17, 2021 11.07 MDT America/Denver"
custom_allocation_processor,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 17, 2021 11.07 MDT America/Denver"
SC-357940840310-pp-4ot5hd7ck7gqc-AuditorFunction-3NrmL62QV5rV,AWS Lambda,Governance-QA-ServiceCatalog,AWS Virginia,"May 11, 2021 12.23 MDT America/Denver"
SC-463814673255-pp-vnlfu7klakyvi-IAMUpdater-D62oW4AIyiE8,AWS Lambda,governance-qa-logging,AWS Virginia,"May 11, 2021 12.04 MDT America/Denver"
SC-463814673255-pp-vnlfu7klakyvi-SGUpdater-aoI0uUyQ731p,AWS Lambda,governance-qa-logging,AWS Virginia,"May 11, 2021 12.04 MDT America/Denver"
send_decipher_error,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 06, 2021 17.12 MDT America/Denver"
cur_data_replication,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 06, 2021 16.37 MDT America/Denver"
final_to_excel,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 06, 2021 10.58 MDT America/Denver"
launch_invoice_sf,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 06, 2021 10.58 MDT America/Denver"
default_allocations,AWS Lambda,governance-qa-decipher,AWS Virginia,"May 06, 2021 10.58 MDT America/Denver"
DeleteDefaultNetworking,AWS Lambda,governance-qa-decipher,AWS Virginia,"Apr 27, 2021 12.22 MDT America/Denver"
DeleteDefaultNetworking,AWS Lambda,governance-qa-logging-govcloud,AWS Virginia,"Apr 26, 2021 11.07 MDT America/Denver"
provisioner-functions-ApVoiceInserter-1L45F4CRLEWYB,AWS Lambda,mxr-governance-qa-master,AWS Virginia,"Apr 15, 2021 16.50 MDT America/Denver"
provisioner-functions-CfDeployer-16MJ2GAPLK71C,AWS Lambda,mxr-governance-qa-master,AWS Virginia,"Apr 15, 2021 16.50 MDT America/Denver"
provisioner-functions-NewAccountsProvisioner-81RY0KEG80OB,AWS Lambda,mxr-governance-qa-master,AWS Virginia,"Apr 15, 2021 16.50 MDT America/Denver"
provisioner-functions-EntryPoint-ORKGAJZJ8K1U,AWS Lambda,mxr-governance-qa-master,AWS Virginia,"Apr 15, 2021 16.50 MDT America/Denver"
DeleteDefaultNetworking,AWS Lambda,mxr-governance-qa-master,AWS Virginia,"Apr 15, 2021 16.50 MDT America/Denver"
AccessAnalyzerPipeline-EventBusPolicyUpdater,AWS Lambda,governance-qa-tools,AWS Sao Paulo,"Apr 09, 2021 11.44 MDT America/Denver"
custodian-s3-tag-compliance,AWS Lambda,mxr-governance-qa-sectools,AWS Virginia,"Apr 05, 2021 12.10 MDT America/Denver"
custodian-ec2-tag-compliance,AWS Lambda,mxr-governance-qa-sectools,AWS Virginia,"Apr 05, 2021 12.10 MDT America/Denver"
factory-initialization-stack-StartInstallLambda-ZH36PE5H6MEF,AWS Lambda,governance-qa-sandbox,AWS Virginia,"Mar 29, 2021 15.30 MDT America/Denver"
DeleteDefaultNetworking,AWS Lambda,mxr-governance-qa-sectools,AWS Virginia,"Mar 16, 2021 16.59 MDT America/Denver"
SC-357940840310-pp-eorvcjxud2fuu-AuditorFunction-W4MGC6TADNMP,AWS Lambda,Governance-QA-ServiceCatalog,AWS Virginia,"Mar 16, 2021 14.06 MDT America/Denver"
factory-initialization-stack-StartInstallLambda-RW42WPLBNEY4,AWS Lambda,Governance-QA-ServiceCatalog,AWS Virginia,"Mar 16, 2021 13.36 MDT America/Denver"
SC-384124098735-pp-irp3n5-AWSAccountTrackingReport-FKK8JOGQISOO,AWS Lambda,governance-qa-inventory,AWS Virginia,"Mar 01, 2021 13.22 MST America/Denver"
DeleteDefaultNetworking,AWS Lambda,governance-qa-sectools-govcloud,AWS Virginia,"Feb 17, 2021 14.51 MST America/Denver"
DeleteDefaultNetworking,AWS Lambda,governance-qa-inventory,AWS Virginia,"Feb 15, 2021 22.54 MST America/Denver"
SC-903175335064-pp-2ije4zcsdz6c4-SGUpdater-R3QAR61G352F,AWS Lambda,governance-qa-sandbox,AWS Virginia,"Feb 15, 2021 22.33 MST America/Denver"
SC-903175335064-pp-2ije4zcsdz6c4-IAMUpdater-I0N7G21B88K,AWS Lambda,governance-qa-sandbox,AWS Virginia,"Feb 15, 2021 22.33 MST America/Denver"
SC-903175335064-pp-2ije4zcsdz6c4-S3Updater-DJK5ZVPY4O3O,AWS Lambda,governance-qa-sandbox,AWS Virginia,"Feb 15, 2021 22.33 MST America/Denver"
puppet-initialization-stack-StartInstallLambda-1G80HFDMBAYQC,AWS Lambda,Governance-QA-ServiceCatalog,AWS Virginia,"Feb 15, 2021 22.24 MST America/Denver"
DeleteDefaultNetworking,AWS Lambda,Governance-QA-ServiceCatalog,AWS Virginia,"Feb 15, 2021 22.24 MST America/Denver"
